Lon,Lat
142.21,-9.2041
142.06,-9.2573
142.6,-9.3603
142.71,-9.4065
142.53,-9.418
143.45,-9.0509
143.21,-9.088
143.24,-9.1217
143.02,-9.2551
143.03,-9.3003
143.14,-9.3162
143.31,-9.35
143.2,-9.3626
143.34,-9.3652
143.11,-9.3848
143.12,-9.3924
143.88,-9.1459
143.86,-9.3582
143.84,-9.3931
143.78,-9.4407
143.86,-9.4755
144.13,-9.3703
144.22,-9.4124
144.04,-9.4971
141.42,-9.8269
141.57,-9.5211
141.56,-9.6146
142.18,-9.5456
142.28,-9.5612
142.18,-9.618
142.35,-9.6848
142.39,-9.7629
142.39,-9.8169
142.34,-9.8484
142.33,-9.8588
142.3,-9.8819
142.27,-9.9187
142.19,-9.9344
142.16,-9.9479
142.23,-9.9755
142.15,-9.9824
142.62,-9.5358
142.59,-9.5444
142.6,-9.5596
142.85,-9.642
142.67,-9.6852
142.68,-9.7069
142.98,-9.7215
142.64,-9.7694
142.63,-9.8023
142.97,-9.8036
142.91,-9.8194
142.71,-9.8371
142.55,-9.8376
142.93,-9.8509
142.77,-9.9044
142.96,-9.9352
143.29,-9.516
143.49,-9.5693
143.11,-9.5862
143.31,-9.6145
143.43,-9.691
143.36,-9.7178
143.43,-9.7512
143.32,-9.7683
143.27,-9.7699
143.41,-9.8293
143.31,-9.8713
143.18,-9.8731
143.4,-9.8772
143.49,-9.891
143.21,-9.8965
143.48,-9.9472
143.29,-9.9602
143.4,-9.963
143.43,-9.9714
143.13,-9.9905
143.03,-10.001
143.55,-9.5166
143.52,-9.5458
143.87,-9.559
143.51,-9.5727
143.66,-9.5754
143.8,-9.5817
143.66,-9.6168
143.6,-9.6243
143.78,-9.6417
143.62,-9.6564
143.65,-9.6753
143.68,-9.6799
143.7,-9.6851
143.8,-9.6948
143.72,-9.698
143.85,-9.7027
143.63,-9.7187
143.55,-9.727
143.69,-9.7297
143.85,-9.7446
143.81,-9.7697
143.89,-9.7779
143.81,-9.7831
143.79,-9.7885
143.67,-9.8092
143.72,-9.809
143.8,-9.8098
143.54,-9.829
143.68,-9.8315
143.57,-9.8328
143.65,-9.8367
143.51,-9.8403
143.61,-9.8503
143.83,-9.8834
143.75,-9.8871
143.86,-9.8946
143.99,-9.9025
144,-9.9266
143.71,-9.9428
143.97,-9.959
143.89,-9.9694
143.82,-9.9813
143.99,-9.9849
143.69,-9.9903
143.97,-9.9909
143.6,-9.9898
144.15,-9.5608
144.19,-9.5684
144.21,-9.5996
144.23,-9.6255
144.2,-9.6373
144.14,-9.6599
144.24,-9.8087
144.04,-9.8294
144.21,-9.8656
144.17,-9.8778
144.03,-9.9098
144.06,-9.9181
144.15,-9.9376
144.03,-9.9479
144.81,-9.6958
143.09,-10.776
142.65,-10.617
142.91,-10.596
142.65,-10.642
142.68,-10.645
142.85,-10.654
142.75,-10.661
142.67,-10.669
142.56,-10.712
142.61,-10.733
142.62,-10.726
142.68,-10.716
142.74,-10.679
142.79,-10.684
142.74,-10.712
142.62,-10.773
142.57,-10.826
142.58,-10.837
142.72,-10.821
142.75,-10.818
142.93,-10.81
142.98,-10.801
142.69,-10.89
142.77,-10.901
142.71,-10.945
143.37,-10.624
143.22,-10.641
143.04,-10.648
143.25,-10.685
143.43,-10.698
143.47,-10.698
143.19,-10.735
143.33,-10.736
143.09,-10.752
143.33,-10.76
143.41,-10.778
143.35,-10.808
143.32,-10.832
143.35,-10.843
143.3,-10.84
143.4,-10.848
143.24,-10.853
143.21,-10.899
143.18,-10.908
143.39,-10.908
143.32,-10.915
143.24,-10.948
143.16,-10.951
143.13,-10.953
143.12,-10.987
143.67,-10.645
143.97,-10.684
143.78,-10.697
143.96,-10.705
143.98,-10.708
143.96,-10.723
143.98,-10.723
143.5,-10.699
143.97,-10.736
143.98,-10.737
143.99,-10.751
143.65,-10.802
143.5,-10.771
143.98,-10.776
143.99,-10.783
144,-10.792
144.01,-10.806
144,-10.824
143.82,-10.826
143.83,-10.827
144.02,-10.845
144,-10.872
143.79,-10.872
143.49,-10.812
144.02,-10.888
143.56,-10.899
