a,b
0.073316384,-0.083911762
0.003334323,-0.060535557
0.015884214,-0.097456709
0.07412063,-0.083939651
0.003334673,-0.060531944
0.015885138,-0.097454653
0.026615545,-0.041216365
0.000225647,-0.033005348
0.001461395,-0.053147273
0.02690746,-0.040773084
0.000225678,-0.032996772
0.001461105,-0.053125024
0.089209683,-0.081783405
0.005090009,-0.053152923
0.021349241,-0.08434976
0.08971394,-0.082121524
0.005090236,-0.05315423
0.021349799,-0.084351201
0.030647249,-0.038909012
0.00032859,-0.026367736
0.001884719,-0.043422922
0.030780781,-0.038912146
0.000329169,-0.026411517
0.001884762,-0.04342278
0.077465123,-0.090328896
0.003995895,-0.073483295
0.016660076,-0.104829356
0.078362612,-0.089994614
0.003996751,-0.073481506
0.016661496,-0.104825146
0.022020119,-0.032156663
0.000179282,-0.024816964
0.001083743,-0.039483052
0.022101195,-0.031294441
0.000179319,-0.024807677
0.001085547,-0.039552541
0.092478653,-0.089767523
0.005738424,-0.063044394
0.022152791,-0.092585424
0.093043271,-0.090142866
0.00573877,-0.06304664
0.022153438,-0.092586961
0.022726125,-0.02810054
0.000260495,-0.019832052
0.00137491,-0.031648783
0.022847567,-0.028127412
0.000260618,-0.019840836
0.001375068,-0.031651742
0.062537757,-0.074282138
0.003230715,-0.059657145
0.013242468,-0.084870803
0.063009458,-0.074114923
0.003231052,-0.059656014
0.013243048,-0.084868271
0.024567636,-0.039372239
0.000198716,-0.029136703
0.001277184,-0.047210361
0.024821496,-0.039128345
0.000199121,-0.029178501
0.001277564,-0.047224378
0.06827381,-0.066981474
0.004097653,-0.044870945
0.016339186,-0.069372599
0.068436505,-0.067036425
0.004097779,-0.044871463
0.016339443,-0.069373005
0.027667408,-0.036185803
0.000290243,-0.022948212
0.001670269,-0.039321593
0.027790071,-0.036226551
0.00029014,-0.022933405
0.001670301,-0.039321485
0.063879413,-0.077765937
0.002774131,-0.053259092
0.013279984,-0.089966796
0.063987265,-0.077050065
0.002773828,-0.053241481
0.01328014,-0.089959875
0.023298866,-0.036808163
0.000229703,-0.033598206
0.001703364,-4.632450259
0.023288327,-0.035982417
0.0002297,-0.033583087
0.001186909,-0.045454611
0.076228099,-0.076699709
0.004277313,-0.047853911
0.018030084,-0.078838541
0.076212145,-0.076589705
0.004277165,-0.047851067
0.018030045,-0.078837743
0.024464374,-0.032669947
0.000292995,-0.023698486
0.002261237,-4.623265467
0.024448758,-0.032522911
0.000292987,-0.023696225
0.001466493,-0.035917654
0.054825945,-0.068452078
0.002452134,-0.047455157
0.011772442,-0.080539064
0.055193797,-0.06850194
0.002452326,-0.047454496
0.011773143,-0.080539525
0.021075791,-0.035206725
0.000210337,-0.031806403
0.001115869,-0.044227496
0.021146148,-0.034881945
0.00021032,-0.031796219
0.00111617,-0.044238252
0.060610868,-0.061760315
0.003228669,-0.03628817
0.014593424,-0.064548517
0.060707374,-0.06180994
0.003228701,-0.036287985
0.014593614,-0.064548974
0.021284788,-0.028833205
0.000470099,-4.966390579
0.001306832,-0.032582804
0.021274559,-0.028720493
0.000470123,-4.966433776
0.001306826,-0.032581949
0.083864528,-0.092960639
0.003778402,-0.069438125
0.018058458,-0.106735074
0.084430397,-0.092428676
0.003778816,-0.069434251
0.018059333,-0.106731034
0.032851646,-0.05172476
0.000269154,-0.041789676
0.001744649,-0.063477644
0.033175161,-0.051085468
0.000269219,-0.041784255
0.001744821,-0.063472393
0.103437845,-0.090874711
0.005924608,-0.06112722
0.024589029,-0.093130324
0.103606597,-0.090907082
0.005924724,-0.06112733
0.024589259,-0.09313032
0.040182448,-0.051410302
0.000426974,-0.035514809
0.00238779,-0.054716221
0.040299019,-0.051402911
0.00042699,-0.035514293
0.002387852,-0.054716627
0.080252045,-0.088488288
0.004036007,-0.072054204
0.016670592,-0.101202989
0.080644897,-0.088030336
0.004036419,-0.072050695
0.01667124,-0.101198259
0.030782311,-0.045213217
0.000286162,-0.04089793
0.001509047,-0.052403859
0.030877433,-0.044544955
0.000285603,-0.040780829
0.001509082,-0.05239677
0.092808732,-0.085339651
0.005752547,-0.060724542
0.022092686,-0.08820678
0.09289283,-0.085335466
0.005752589,-0.060724129
0.022092828,-0.088206717
0.03212985,-0.039309969
0.000372907,-0.029258418
0.001909475,-0.04257485
0.032150865,-0.039219452
0.000372901,-0.029256257
0.00190949,-0.042574291
0.078864729,-0.097729715
0.003377204,-0.06970641
0.017746561,-0.113297897
0.079507612,-0.097514536
0.003377636,-0.069703539
0.017747375,-0.113295013
0.024375486,-0.043894788
0.000250711,-4.843094654
0.001426989,-0.059737131
0.024464039,-0.042720706
0.000250883,-4.843134665
