ID,a,b,params
1,0.0733,-0.0839,_d67_1111_P5
2,0.0033,-0.0605,_d67_1111_P7
3,0.0159,-0.0975,_d67_1112
4,0.0741,-0.0839,_d67_1112_P5
5,0.0033,-0.0605,_d67_1112_P7
6,0.0159,-0.0975,_d67_1121
7,0.0266,-0.0412,_d67_1121_P5
8,2.26E-04,-0.033,_d67_1121_P7
9,0.0015,-0.0531,_d67_1122
10,0.0269,-0.0408,_d67_1122_P5
11,2.26E-04,-0.033,_d67_1122_P7
12,0.0015,-0.0531,_d67_2111
13,0.0892,-0.0818,_d67_2111_P5
14,0.0051,-0.0532,_d67_2111_P7
15,0.0213,-0.0843,_d67_2112
16,0.0897,-0.0821,_d67_2112_P5
17,0.0051,-0.0532,_d67_2112_P7
18,0.0213,-0.0844,_d67_2121
19,0.0306,-0.0389,_d67_2121_P5
20,3.29E-04,-0.0264,_d67_2121_P7
21,0.0019,-0.0434,_d67_2122
22,0.0308,-0.0389,_d67_2122_P5
23,3.29E-04,-0.0264,_d67_2122_P7
24,0.0019,-0.0434,_d68_1111
25,0.0775,-0.0903,_d68_1111_P5
26,0.004,-0.0735,_d68_1111_P7
27,0.0167,-0.1048,_d68_1112
28,0.0784,-0.09,_d68_1112_P5
29,0.004,-0.0735,_d68_1112_P7
30,0.0167,-0.1048,_d68_1121
31,0.022,-0.0322,_d68_1121_P5
32,1.79E-04,-0.0248,_d68_1121_P7
33,0.0011,-0.0395,_d68_1122
34,0.0221,-0.0313,_d68_1122_P5
35,1.79E-04,-0.0248,_d68_1122_P7
36,0.0011,-0.0396,_d68_2111
37,0.0925,-0.0898,_d68_2111_P5
38,0.0057,-0.063,_d68_2111_P7
39,0.0222,-0.0926,_d68_2112
40,0.093,-0.0901,_d68_2112_P5
41,0.0057,-0.063,_d68_2112_P7
42,0.0222,-0.0926,_d68_2121
43,0.0227,-0.0281,_d68_2121_P5
44,2.61E-04,-0.0198,_d68_2121_P7
45,0.0014,-0.0316,_d68_2122
46,0.0228,-0.0281,_d68_2122_P5
47,2.61E-04,-0.0198,_d68_2122_P7
48,0.0014,-0.0317,_d69_1111
49,0.0625,-0.0743,_d69_1111_P5
50,0.0032,-0.0597,_d69_1111_P7
51,0.0132,-0.0849,_d69_1112
52,0.063,-0.0741,_d69_1112_P5
53,0.0032,-0.0597,_d69_1112_P7
54,0.0132,-0.0849,_d69_1121
55,0.0246,-0.0394,_d69_1121_P5
56,1.99E-04,-0.0291,_d69_1121_P7
57,0.0013,-0.0472,_d69_1122
58,0.0248,-0.0391,_d69_1122_P5
59,1.99E-04,-0.0292,_d69_1122_P7
60,0.0013,-0.0472,_d69_2111
61,0.0683,-0.067,_d69_2111_P5
62,0.0041,-0.0449,_d69_2111_P7
63,0.0163,-0.0694,_d69_2112
64,0.0684,-0.067,_d69_2112_P5
65,0.0041,-0.0449,_d69_2112_P7
66,0.0163,-0.0694,_d69_2121
67,0.0277,-0.0362,_d69_2121_P5
68,2.90E-04,-0.0229,_d69_2121_P7
69,0.0017,-0.0393,_d69_2122
70,0.0278,-0.0362,_d69_2122_P5
71,2.90E-04,-0.0229,_d69_2122_P7
72,0.0017,-0.0393,_d70_1111
73,0.0639,-0.0778,_d70_1111_P5
74,0.0028,-0.0533,_d70_1111_P7
75,0.0133,-0.09,_d70_1112
76,0.064,-0.0771,_d70_1112_P5
77,0.0028,-0.0532,_d70_1112_P7
78,0.0133,-0.09,_d70_1121
79,0.0233,-0.0368,_d70_1121_P5
