"","Event","Lat","Lon","ReefID","Core","Level","Level_Matrix","IntMean"
"1","1998 Bleaching",-10.68,142.74,"10-325","0",1,NA,5
"2","1998 Bleaching",-10.7,142.73,"10-327","0",1,NA,5
"3","1998 Bleaching",-10.8,142.98,"10-338","0",1,NA,5
"4","1998 Bleaching",-10.82,142.76,"10-336","0",1,NA,5
"5","1998 Bleaching",-10.89,142.7,"10-340","0",1,NA,5
"6","1998 Bleaching",-11.01,142.99,"11-001","0",1,NA,5
"7","1998 Bleaching",-11.07,143.09,"11-025","0",1,NA,5
"8","1998 Bleaching",-11.11,143.02,"11-026","0",1,NA,5
"9","1998 Bleaching",-11.17,143.1,"11-034","0",1,NA,5
"10","1998 Bleaching",-11.18,143.03,"11-035","0",2,NA,20
"11","1998 Bleaching",-11.24,143,"11-038","0",1,NA,5
"12","1998 Bleaching",-11.25,142.82,"11-008","0",2,NA,20
"13","1998 Bleaching",-11.25,142.93,"11-010","0",1,NA,5
"14","1998 Bleaching",-11.26,142.87,"11-009","0",1,NA,5
"15","1998 Bleaching",-11.39,142.97,"11-013","0",2,NA,20
"16","1998 Bleaching",-11.39,143.07,"11-052","0",1,NA,5
"17","1998 Bleaching",-11.4,143.96,"11-091","0",0,NA,0
"18","1998 Bleaching",-11.46,143.04,"11-055","0",1,NA,5
"19","1998 Bleaching",-11.49,143.04,"11-061","0",1,NA,5
"20","1998 Bleaching",-11.51,142.87,"11-132","0",2,NA,20
"21","1998 Bleaching",-11.55,143.02,"11-156","0",1,NA,5
"22","1998 Bleaching",-11.59,144.04,"11-243","0",0,NA,0
"23","1998 Bleaching",-11.6,142.94,"11-136","0",1,NA,5
"24","1998 Bleaching",-11.6,143.01,"11-161","0",1,NA,5
"25","1998 Bleaching",-11.73,142.99,"11-138","0",1,NA,5
"26","1998 Bleaching",-11.76,142.97,"11-139","0",2,NA,20
"27","1998 Bleaching",-11.77,142.94,"11-142","0",1,NA,5
"28","1998 Bleaching",-11.77,143.08,"11-167","0",1,NA,5
"29","1998 Bleaching",-11.8,142.94,"11-146","0",1,NA,5
"30","1998 Bleaching",-11.82,143.36,"11-173","0",0,NA,0
"31","1998 Bleaching",-11.84,142.94,"11-150","0",2,NA,20
"32","1998 Bleaching",-11.87,143.3,"11-175","0",0,NA,0
"33","1998 Bleaching",-11.9,143.11,"11-176","0",3,NA,45
"34","1998 Bleaching",-11.95,143.27,"11-185","0",1,NA,5
"35","1998 Bleaching",-11.95,143.99,"11-240","0",0,NA,0
"36","1998 Bleaching",-11.96,143.27,"11-186","0",1,NA,5
"37","1998 Bleaching",-11.99,143.26,"11-191","0",1,NA,5
"38","1998 Bleaching",-12.03,143.3,"12-001","0",1,NA,5
"39","1998 Bleaching",-12.08,143.97,"12-037","0",0,NA,0
"40","1998 Bleaching",-12.1,143.26,"12-004","0",1,NA,5
"41","1998 Bleaching",-12.14,143.27,"12-006","0",0,NA,0
"42","1998 Bleaching",-12.14,143.37,"12-007","0",1,NA,5
"43","1998 Bleaching",-12.23,143.28,"12-010","0",1,NA,5
"44","1998 Bleaching",-12.27,143.92,"12-056","0",0,NA,0
"45","1998 Bleaching",-12.3,143.42,"NA-NA","0",1,NA,5
"46","1998 Bleaching",-12.32,143.33,"NA-NA","0",1,NA,5
